fix_id,tag.local.identifier,species,animal,date,start_datetime,stop_datetime,num_fixes,length_sec,start_time,stop_time
1379,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:01:41,2023-07-02 08:01:41,1,0,2024-03-22 08:01:41,2024-03-22 08:01:41
1380,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:03:12,2023-07-02 08:03:12,1,0,2024-03-22 08:03:12,2024-03-22 08:03:12
1381,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:04:41,2023-07-02 08:04:41,1,0,2024-03-22 08:04:41,2024-03-22 08:04:41
1382,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:06:12,2023-07-02 08:06:12,1,0,2024-03-22 08:06:12,2024-03-22 08:06:12
1383,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:07:45,2023-07-02 08:07:45,1,0,2024-03-22 08:07:45,2024-03-22 08:07:45
1384,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:09:11,2023-07-02 08:09:11,1,0,2024-03-22 08:09:11,2024-03-22 08:09:11
1385,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:10:40,2023-07-02 08:10:40,1,0,2024-03-22 08:10:40,2024-03-22 08:10:40
1386,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:12:06,2023-07-02 08:12:06,1,0,2024-03-22 08:12:06,2024-03-22 08:12:06
1387,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:13:39,2023-07-02 08:13:39,1,0,2024-03-22 08:13:39,2024-03-22 08:13:39
1388,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:15:12,2023-07-02 08:15:12,1,0,2024-03-22 08:15:12,2024-03-22 08:15:12
1389,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:16:41,2023-07-02 08:16:41,1,0,2024-03-22 08:16:41,2024-03-22 08:16:41
1390,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:18:11,2023-07-02 08:18:11,1,0,2024-03-22 08:18:11,2024-03-22 08:18:11
1391,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:19:42,2023-07-02 08:19:42,1,0,2024-03-22 08:19:42,2024-03-22 08:19:42
1392,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:21:11,2023-07-02 08:21:11,1,0,2024-03-22 08:21:11,2024-03-22 08:21:11
1393,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:22:41,2023-07-02 08:22:41,1,0,2024-03-22 08:22:41,2024-03-22 08:22:41
1394,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:24:10,2023-07-02 08:24:10,1,0,2024-03-22 08:24:10,2024-03-22 08:24:10
