"","individual.local.identifier","tag.local.identifier","study.local.timestamp","date"
"317","TEST",8589,2023-07-02 11:33:08,2023-07-02
"318","TEST",8589,2023-07-02 11:33:09,2023-07-02
"319","TEST",8589,2023-07-02 11:33:10,2023-07-02
"320","TEST",8589,2023-07-02 11:33:11,2023-07-02
"321","TEST",8589,2023-07-02 11:33:12,2023-07-02
"322","TEST",8589,2023-07-02 11:36:07,2023-07-02
"323","TEST",8589,2023-07-02 11:36:08,2023-07-02
"324","TEST",8589,2023-07-02 11:36:09,2023-07-02
"325","TEST",8589,2023-07-02 11:36:10,2023-07-02
"326","TEST",8589,2023-07-02 11:36:11,2023-07-02
"327","TEST",8589,2023-07-02 11:39:07,2023-07-02
"328","TEST",8589,2023-07-02 11:39:08,2023-07-02
"329","TEST",8589,2023-07-02 11:39:09,2023-07-02
"330","TEST",8589,2023-07-02 11:39:10,2023-07-02
"331","TEST",8589,2023-07-02 11:39:11,2023-07-02
"332","TEST",8589,2023-07-02 11:42:09,2023-07-02
"333","TEST",8589,2023-07-02 11:42:10,2023-07-02
"334","TEST",8589,2023-07-02 11:42:11,2023-07-02
"335","TEST",8589,2023-07-02 11:42:12,2023-07-02
"336","TEST",8589,2023-07-02 11:42:13,2023-07-02
"337","TEST",8589,2023-07-02 11:45:12,2023-07-02
"338","TEST",8589,2023-07-02 11:45:13,2023-07-02
"339","TEST",8589,2023-07-02 11:45:14,2023-07-02
"340","TEST",8589,2023-07-02 11:45:15,2023-07-02
"341","TEST",8589,2023-07-02 11:45:16,2023-07-02
"342","TEST",9437,2023-07-02 00:00:23,2023-07-01
"343","TEST",9437,2023-07-02 00:15:12,2023-07-01
"344","TEST",9437,2023-07-02 00:30:16,2023-07-01
"345","TEST",9437,2023-07-02 00:45:16,2023-07-01
"346","TEST",9437,2023-07-02 01:00:18,2023-07-01
"347","TEST",9437,2023-07-02 01:15:11,2023-07-01
"348","TEST",9437,2023-07-02 01:30:13,2023-07-01
"349","TEST",9437,2023-07-02 01:45:24,2023-07-01
"350","TEST",9437,2023-07-02 02:00:21,2023-07-02
