"","id","group","year","hr_area","intersect_area","prop_river","mean_mei","median_mei","group_index"
"64","aa_2019","aa","2019",2264935.40387577,591423.349775552,0.261121508703297,0.3025,0.27,1
"65","ce_2012","ce","2012",696860.184177999,4016.92685705567,0.00576432252589369,-0.308333333333333,-0.26,2
"66","ce_2013","ce","2013",3197598.72307296,537253.343501603,0.168017750202656,-0.405833333333333,-0.315,2
"67","ce_2014","ce","2014",3272602.93326646,407104.939554305,0.124397902176285,-0.04,-0.055,2
"68","ce_2015","ce","2015",592104.157376666,255597.313956759,0.43167626974482,1.27083333333333,1.7,2
"69","ce_2016","ce","2016",2003412.15758471,333232.096045535,0.16633227206092,0.463333333333333,0,2
"70","ce_2017","ce","2017",1311400.46051075,238072.541735729,0.181540687916952,-0.534166666666667,-0.555,2
"71","ce_2018","ce","2018",1880835.27690873,380832.167151709,0.202480340424936,-0.358333333333333,-0.475,2
"72","ce_2019","ce","2019",1089647.58111638,214323.688067685,0.196690830853865,0.3025,0.27,2
"73","cu_2011","cu","2011",1057819.63618646,157509.902517346,0.148900528151646,-1.38333333333333,-1.34,3
"74","di_2013","di","2013",1497998.02951254,401734.211067279,0.26818073398802,-0.405833333333333,-0.315,4
"75","di_2017","di","2017",1277996.81295823,394941.492561064,0.309031672502279,-0.534166666666667,-0.555,4
"76","di_2019","di","2019",1037370.68335116,257634.798262044,0.248353652553369,0.3025,0.27,4
"77","ff_2010","ff","2010",2306849.82948917,287209.547885674,0.124502923516818,-0.97,-1.82,5
"78","ff_2011","ff","2011",3284729.13230693,540828.578181556,0.16464936875989,-1.38333333333333,-1.34,5
"79","ff_2012","ff","2012",1477058.70044996,317094.202830329,0.214679486152941,-0.308333333333333,-0.26,5
"80","ff_2013","ff","2013",1338945.02693628,189636.721958755,0.141631447254167,-0.405833333333333,-0.315,5
"81","ff_2015","ff","2015",2579024.05136139,505717.263935968,0.19608861874282,1.27083333333333,1.7,5
"82","ff_2016","ff","2016",1651121.41903407,285516.473522864,0.172922760392688,0.463333333333333,0,5
"83","ff_2017","ff","2017",1065241.60216187,268274.378882119,0.251843692865231,-0.534166666666667,-0.555,5
"84","ff_2018","ff","2018",1517998.97056872,420363.156559129,0.276919263259868,-0.358333333333333,-0.475,5
"85","ff_2019","ff","2019",1094190.76677632,320472.304965011,0.292885221385279,0.3025,0.27,5
"86","fl_2010","fl","2010",1712509.76329078,626602.764836208,0.365897338671003,-0.97,-1.82,6
"87","fl_2011","fl","2011",5531823.56374065,1378108.7832696,0.249123777609732,-1.38333333333333,-1.34,6
"88","fl_2012","fl","2012",6869866.6595126,1549887.9143918,0.225606695327296,-0.308333333333333,-0.26,6
"89","fl_2013","fl","2013",4924523.45564584,1360344.38418323,0.276238786643128,-0.405833333333333,-0.315,6
"90","fl_2014","fl","2014",3192730.5017085,1187067.556911,0.371803243736286,-0.04,-0.055,6
"91","fl_2015","fl","2015",5623448.71456679,1486764.32596561,0.264386571556054,1.27083333333333,1.7,6
"92","fl_2016","fl","2016",4993710.41752141,1428574.50196596,0.286074758550983,0.463333333333333,0,6
"93","fl_2017","fl","2017",8802419.82040514,1724917.10562216,0.195959422615084,-0.534166666666667,-0.555,6
"94","fl_2018","fl","2018",6452945.12191226,1459280.10516381,0.22614171941561,-0.358333333333333,-0.475,6
"95","fl_2019","fl","2019",4963176.34048261,1365426.81545642,0.275111485425006,0.3025,0.27,6
"96","mk_2011","mk","2011",2429425.25526918,174673.899457155,0.071899268799608,-1.38333333333333,-1.34,8
"97","mk_2012","mk","2012",4381348.93019674,737267.120434788,0.168274002409044,-0.308333333333333,-0.26,8
"98","mk_2013","mk","2013",2196381.37971279,187063.585105525,0.0851689906103586,-0.405833333333333,-0.315,8
"99","mk_2017","mk","2017",4412078.55860218,660997.143029998,0.149815361229518,-0.534166666666667,-0.555,8
"100","mk_2019","mk","2019",1185854.95688645,69097.6857506544,0.0582682438095766,0.3025,0.27,8
"101","nm_2010","nm","2010",2676433.80795179,426996.247024011,0.159539251729442,-0.97,-1.82,9
"102","nm_2011","nm","2011",3265196.8057252,322455.68124661,0.0987553585380261,-1.38333333333333,-1.34,9
"103","nm_2012","nm","2012",1780916.04508912,237037.913141425,0.133098869986071,-0.308333333333333,-0.26,9
"104","nm_2013","nm","2013",2888882.86225688,354682.684241418,0.122775031440468,-0.405833333333333,-0.315,9
"105","nm_2014","nm","2014",2528175.43480934,183063.759552438,0.0724094368736889,-0.04,-0.055,9
"106","nm_2015","nm","2015",2730719.41022576,390727.692921924,0.143085990987855,1.27083333333333,1.7,9
"107","nm_2016","nm","2016",1942487.62583108,330061.519700259,0.169916922667162,0.463333333333333,0,9
"108","nm_2017","nm","2017",1860010.67295858,175336.878424138,0.0942665980218505,-0.534166666666667,-0.555,9
"109","rf_2010","rf","2010",1651301.4820934,210734.099529483,0.127616974740633,-0.97,-1.82,10
"110","rf_2011","rf","2011",1871166.60539973,185619.041882418,0.0991996337187542,-1.38333333333333,-1.34,10
"111","rf_2012","rf","2012",2168692.66127701,279628.282223821,0.12893863995425,-0.308333333333333,-0.26,10
"112","rf_2016","rf","2016",2851116.30964258,523977.929010287,0.183779920600985,0.463333333333333,0,10
"113","rf_2017","rf","2017",2669568.04820529,482616.764301553,0.180784589711436,-0.534166666666667,-0.555,10
"114","rf_2018","rf","2018",3768030.76654932,500751.852306049,0.132894841717184,-0.358333333333333,-0.475,10
"115","rf_2019","rf","2019",2915830.53084625,405150.8170363,0.13894868468872,0.3025,0.27,10
"116","rr_2010","rr","2010",1990367.05965612,753011.68665133,0.378328049089312,-0.97,-1.82,11
"117","rr_2011","rr","2011",1775195.4624187,481461.346050207,0.271215962547705,-1.38333333333333,-1.34,11
"118","rr_2012","rr","2012",2242028.66696152,552728.103724749,0.246530346319713,-0.308333333333333,-0.26,11
"119","rr_2013","rr","2013",1312554.25662112,412519.922119472,0.31428790089136,-0.405833333333333,-0.315,11
"120","rr_2014","rr","2014",1962419.00790848,558117.17436931,0.284402654132536,-0.04,-0.055,11
"121","rr_2015","rr","2015",2037915.79610467,652124.038316139,0.319995575657556,1.27083333333333,1.7,11
"122","rr_2017","rr","2017",1013224.24017841,367072.666579301,0.362281765500071,-0.534166666666667,-0.555,11
"123","rr_2018","rr","2018",1424560.23059684,467654.756774631,0.328280087236957,-0.358333333333333,-0.475,11
"124","rr_2019","rr","2019",809281.968013208,259754.880926005,0.320969564617515,0.3025,0.27,11
"125","sp_2010","sp","2010",2323329.2370346,506224.101452253,0.217887371872604,-0.97,-1.82,12
"126","sp_2011","sp","2011",1674179.0077093,468692.175584072,0.279953441911425,-1.38333333333333,-1.34,12
"127","sp_2012","sp","2012",1224892.94372141,356508.073940808,0.291052435046025,-0.308333333333333,-0.26,12
"128","sp_2016","sp","2016",1624939.79335412,574552.152095825,0.353583655496467,0.463333333333333,0,12
"129","sp_2017","sp","2017",2137866.77492776,541022.991747211,0.253066747700166,-0.534166666666667,-0.555,12
"130","sp_2018","sp","2018",1229249.58458316,465179.714677041,0.378425765207627,-0.358333333333333,-0.475,12
"131","aa_2020","aa","2020",574868.04185891,139039.066941226,0.241862578569553,-0.620833333333333,-0.875,1
"132","aa_2021","aa","2021",987783.230124425,231530.787134,0.234394328707965,-1.23833333333333,-1.24,1
"133","aa_2022","aa","2022",1276219.85866472,386477.079818931,0.302829545548126,-1.59166666666667,-1.735,1
"134","aa_2023","aa","2023",844664.069109659,294576.580164821,0.348749983499744,-0.138,0.045,1
"135","ce_2021","ce","2021",1658782.69121414,263725.545964538,0.158987399230399,-1.23833333333333,-1.24,2
"136","ce_2022","ce","2022",1140860.99574406,163020.327117653,0.142892366139078,-1.59166666666667,-1.735,2
"137","di_2020","di","2020",1882828.86243275,520470.742871811,0.276430191429786,-0.620833333333333,-0.875,4
"138","ff_2021","ff","2021",1895309.64285526,401243.520170405,0.211703413045446,-1.23833333333333,-1.24,5
"139","ff_2022","ff","2022",2028020.0484845,432910.723564508,0.21346471593711,-1.59166666666667,-1.735,5
"140","ff_2023","ff","2023",2464900.62877134,768147.495235089,0.311634264793052,-0.138,0.045,5
"141","fl_2021","fl","2021",3990332.78984096,1113785.69506129,0.279121004116974,-1.23833333333333,-1.24,6
"142","fl_2022","fl","2022",3205856.85344223,1018091.37813426,0.317572313636245,-1.59166666666667,-1.735,6
"143","fl_2023","fl","2023",4564094.8603908,1274562.62357043,0.279258574275404,-0.138,0.045,6
"144","mi_2021","mi","2021",817703.20781421,339144.081683226,0.414752049939717,-1.23833333333333,-1.24,7
"145","mi_2022","mi","2022",440698.473832585,203837.625273942,0.462533086400878,-1.59166666666667,-1.735,7
"146","mi_2023","mi","2023",479656.66727981,256782.962159528,0.535347425932333,-0.138,0.045,7
"147","rf_2020","rf","2020",4550672.12273366,612476.483972047,0.134590334669974,-0.620833333333333,-0.875,10
"148","rf_2021","rf","2021",2183656.28526933,306208.552418472,0.140227449935283,-1.23833333333333,-1.24,10
"149","rf_2022","rf","2022",2298600.66845662,333511.726629896,0.145093374071726,-1.59166666666667,-1.735,10
"150","rf_2023","rf","2023",976997.716270489,183008.787874734,0.187317518584728,-0.138,0.045,10
"151","rr_2020","rr","2020",361004.710310857,116756.761434941,0.323421711961606,-0.620833333333333,-0.875,11
